id,eduClass,eduClassIndex,period,room
1,行政班6,0,4_2,room4
2,行政班6,1,2_7,room6
3,行政班6,2,1_5,room8
4,行政班6,3,5_6,room10
5,行政班6,4,4_3,room6
6,行政班6,5,3_3,room6
7,行政班6,6,3_2,room3
8,行政班6,7,3_4,room3
9,行政班6,8,1_8,room3
10,行政班6,9,2_1,room8
11,行政班6,10,5_7,room4
12,行政班6,11,3_1,room10
13,行政班6,12,2_4,room3
14,行政班6,13,3_5,room10
15,行政班6,14,4_6,room8
16,行政班6,15,3_7,room10
17,行政班6,16,2_6,room8
18,行政班6,17,1_6,room6
19,行政班6,18,4_4,room10
20,行政班6,19,2_2,room4
21,行政班6,20,5_5,room3
22,行政班6,21,3_8,room10
23,行政班4,0,3_4,room8
24,行政班4,1,3_2,room7
25,行政班4,2,3_5,room5
26,行政班4,3,3_1,room1
27,行政班4,4,1_8,room5
28,行政班4,5,5_6,room9
29,行政班4,6,2_5,room8
30,行政班4,7,5_5,room5
31,行政班4,8,1_4,room9
32,行政班4,9,2_2,room3
33,行政班4,10,5_7,room7
34,行政班4,11,2_4,room2
35,行政班4,12,3_6,room5
36,行政班4,13,2_1,room2
37,行政班4,14,2_3,room1
38,行政班4,15,5_8,room3
39,行政班4,16,1_7,room9
40,行政班4,17,4_5,room9
41,行政班4,18,1_3,room3
42,行政班4,19,3_3,room9
43,行政班4,20,4_3,room3
44,行政班4,21,1_6,room8
45,会考地理1,0,1_7,room8
46,会考地理1,1,5_8,room8
47,行政班8,0,5_7,room8
48,行政班8,1,3_3,room4
49,行政班8,2,4_5,room4
50,行政班8,3,3_7,room1
51,行政班8,4,3_2,room1
52,行政班8,5,1_4,room2
53,行政班8,6,1_8,room2
54,行政班8,7,3_5,room4
55,行政班8,8,5_5,room7
56,行政班8,9,1_3,room7
57,行政班8,10,2_2,room2
58,行政班8,11,4_4,room1
59,行政班8,12,5_6,room1
60,行政班8,13,4_3,room8
61,行政班8,14,5_1,room7
62,行政班8,15,1_5,room2
63,行政班8,16,3_6,room8
64,行政班8,17,2_4,room8
65,行政班8,18,1_6,room1
66,行政班8,19,4_2,room8
67,行政班8,20,3_4,room1
68,行政班8,21,2_7,room7
69,会考生物1,0,5_4,room6
70,会考生物1,1,5_3,room6
71,历史2,0,2_2,room5
72,历史2,1,5_7,room5
73,历史2,2,4_2,room7
74,历史2,3,1_5,room7
75,会考物理1,0,3_7,room2
76,会考物理1,1,3_8,room2
77,生物2,0,2_1,room7
