id,name,teacher,type,maxClassNum,lectureIndex,eduClass,eduClassType,period,room
0,通用,通用老师3,0,1,0,行政班4,0,1_6,room7
1,英语,英语老师3,0,1,0,行政班4,0,3_7,room7
2,英语,英语老师3,0,1,1,行政班4,0,5_4,room7
3,英语,英语老师3,0,1,2,行政班4,0,2_6,room4
4,英语,英语老师3,0,1,3,行政班4,0,4_3,room7
5,英语,英语老师3,0,1,4,行政班4,0,3_4,room2
6,英语,英语老师3,0,1,5,行政班4,0,2_8,room3
7,美术,美术老师3,0,1,0,行政班4,0,2_5,room4
8,体育,体育老师4,0,1,0,行政班4,0,2_4,room3
9,体育,体育老师4,0,1,1,行政班4,0,2_3,room7
10,数学,数学老师3,0,1,0,行政班4,0,4_5,room5
11,数学,数学老师3,0,1,1,行政班4,0,2_1,room5
12,数学,数学老师3,0,1,2,行政班4,0,3_8,room6
13,数学,数学老师3,0,1,3,行政班4,0,5_3,room7
14,数学,数学老师3,0,1,4,行政班4,0,4_1,room3
15,数学,数学老师3,0,1,5,行政班4,0,1_8,room2
16,语文,语文老师2,0,1,0,行政班4,0,4_2,room4
17,语文,语文老师2,0,1,1,行政班4,0,1_2,room2
18,语文,语文老师2,0,1,2,行政班4,0,3_5,room6
19,语文,语文老师2,0,1,3,行政班4,0,3_3,room1
20,语文,语文老师2,0,1,4,行政班4,0,1_1,room1
21,语文,语文老师2,0,1,5,行政班4,0,1_7,room7
22,历史,历史老师2,1,1,0,历史班2,1,4_4,room6
23,历史,历史老师2,1,1,1,历史班2,1,4_6,room2
24,历史,历史老师2,1,1,2,历史班2,1,2_2,room3
25,历史,历史老师2,1,1,3,历史班2,1,1_4,room3
26,通用,通用老师4,0,1,0,行政班2,0,4_5,room3
27,英语,英语老师2,0,1,0,行政班2,0,3_1,room3
28,英语,英语老师2,0,1,1,行政班2,0,2_3,room4
29,英语,英语老师2,0,1,2,行政班2,0,3_3,room7
30,英语,英语老师2,0,1,3,行政班2,0,1_8,room7
31,英语,英语老师2,0,1,4,行政班2,0,1_6,room4
32,英语,英语老师2,0,1,5,行政班2,0,1_7,room5
33,美术,美术老师4,0,1,0,行政班2,0,5_7,room1
34,体育,体育老师3,0,1,0,行政班2,0,4_1,room5
35,体育,体育老师3,0,1,1,行政班2,0,4_4,room7
36,数学,数学老师1,0,1,0,行政班2,0,3_7,room6
37,数学,数学老师1,0,1,1,行政班2,0,3_4,room6
38,数学,数学老师1,0,1,2,行政班2,0,2_1,room3
39,数学,数学老师1,0,1,3,行政班2,0,4_3,room5
40,数学,数学老师1,0,1,4,行政班2,0,2_8,room4
41,数学,数学老师1,0,1,5,行政班2,0,5_4,room4
42,语文,语文老师3,0,1,0,行政班2,0,2_4,room5
43,语文,语文老师3,0,1,1,行政班2,0,3_5,room5
44,语文,语文老师3,0,1,2,行政班2,0,4_6,room5
45,语文,语文老师3,0,1,3,行政班2,0,5_3,room2
46,语文,语文老师3,0,1,4,行政班2,0,1_1,room2
47,语文,语文老师3,0,1,5,行政班2,0,3_6,room2
48,政治,政治老师6,2,1,0,会考政治班1,2,4_8,room6
49,政治,政治老师6,2,1,1,会考政治班1,2,1_2,room5
50,政治,政治老师5,2,1,0,会考政治班3,2,1_5,room1
51,政治,政治老师5,2,1,1,会考政治班3,2,1_3,room1
52,物理,物理老师3,1,1,0,物理班2,1,1_4,room1
53,物理,物理老师3,1,1,1,物理班2,1,4_2,room6
54,物理,物理老师3,1,1,2,物理班2,1,3_8,room1
55,物理,物理老师3,1,1,3,物理班2,1,2_5,room1
56,物理,物理老师5,2,1,0,会考物理班2,2,3_8,room2
57,物理,物理老师5,2,1,1,会考物理班2,2,2_7,room5
58,地理,地理老师5,2,1,0,会考地理班3,2,5_6,room1
59,地理,地理老师5,2,1,1,会考地理班3,2,1_2,room1
60,化学,化学老师4,1,1,0,化学班3,1,5_2,room7
61,化学,化学老师4,1,1,1,化学班3,1,4_8,room1
62,化学,化学老师4,1,1,2,化学班3,1,5_1,room5
63,化学,化学老师4,1,1,3,化学班3,1,5_5,room7
64,化学,化学老师1,1,1,0,化学班1,1,4_6,room1
65,化学,化学老师1,1,1,1,化学班1,1,1_5,room3
66,化学,化学老师1,1,1,2,化学班1,1,5_3,room1
67,化学,化学老师1,1,1,3,化学班1,1,1_3,room3
68,地理,地理老师3,1,1,0,地理班1,1,5_6,room4
69,地理,地理老师3,1,1,1,地理班1,1,3_2,room5
70,地理,地理老师3,1,1,2,地理班1,1,2_6,room2
71,地理,地理老师3,1,1,3,地理班1,1,1_2,room4
72,生物,生物老师2,1,1,0,生物班1,1,2_6,room3
73,生物,生物老师2,1,1,1,生物班1,1,4_1,room4
74,生物,生物老师2,1,1,2,生物班1,1,2_3,room2
75,生物,生物老师2,1,1,3,生物班1,1,2_8,room7
76,历史,历史老师3,2,1,0,会考历史班1,2,1_1,room6
77,历史,历史老师3,2,1,1,会考历史班1,2,5_2,room1
78,政治,政治老师1,1,1,0,政治班1,1,4_8,room5
79,政治,政治老师1,1,1,1,政治班1,1,5_2,room6
80,政治,政治老师1,1,1,2,政治班1,1,5_1,room6
81,政治,政治老师1,1,1,3,政治班1,1,5_5,room2
82,政治,政治老师4,2,1,0,会考政治班4,2,5_8,room1
