subjectName,teacherName,classNo,type,lectureSize
语文,语文老师1,1,0,6
语文,语文老师2,1,0,6
语文,语文老师3,1,0,6
语文,语文老师4,1,0,6
数学,数学老师1,1,0,6
数学,数学老师2,1,0,6
数学,数学老师3,1,0,6
数学,数学老师4,1,0,6
英语,英语老师1,1,0,6
英语,英语老师2,1,0,6
英语,英语老师3,1,0,6
英语,英语老师4,1,0,6
美术,美术老师1,1,0,1
美术,美术老师2,1,0,1
美术,美术老师3,1,0,1
美术,美术老师4,1,0,1
体育,体育老师1,1,0,2
体育,体育老师2,1,0,2
体育,体育老师3,1,0,2
体育,体育老师4,1,0,2
通用,通用老师1,1,0,1
通用,通用老师2,1,0,1
通用,通用老师3,1,0,1
通用,通用老师4,1,0,1
物理,物理老师1,1,1,4
物理,物理老师2,1,1,4
物理,物理老师3,1,1,4
物理,物理老师4,1,2,2
物理,物理老师5,1,2,2
化学,化学老师1,1,1,4
化学,化学老师2,1,1,4
化学,化学老师3,1,1,4
化学,化学老师4,1,1,4
化学,化学老师5,1,2,2
化学,化学老师6,1,2,2
化学,化学老师7,1,2,2
生物,生物老师1,1,1,4
生物,生物老师2,1,1,4
生物,生物老师3,1,1,4
生物,生物老师4,1,1,4
生物,生物老师5,1,2,2
生物,生物老师6,1,2,2
生物,生物老师7,1,2,2
政治,政治老师1,1,1,4
政治,政治老师2,1,1,4
政治,政治老师3,1,1,4
政治,政治老师4,1,2,2
政治,政治老师5,1,2,2
政治,政治老师6,1,2,2
政治,政治老师7,1,2,2
历史,历史老师1,1,1,4
历史,历史老师2,1,1,4
历史,历史老师3,1,2,2
历史,历史老师4,1,2,2
历史,历史老师5,1,2,2
地理,地理老师1,1,1,4
地理,地理老师2,1,1,4
地理,地理老师3,1,1,4
地理,地理老师4,1,2,2
地理,地理老师5,1,2,2
地理,地理老师6,1,2,2
