eduClass,subject,type,lectureSize,noRoom
地理高考1班,地理,高考,4,
地理高考2班,地理,高考,4,
地理高考3班,地理,高考,4,
地理会考1班,地理,会考,2,
地理会考2班,地理,会考,2,
地理会考3班,地理,会考,2,
化学高考1班,化学,高考,4,
化学高考2班,化学,高考,4,
化学会考1班,化学,会考,2,
化学会考2班,化学,会考,2,
化学会考3班,化学,会考,2,
历史高考1班,历史,高考,4,
历史高考2班,历史,高考,4,
历史会考1班,历史,会考,2,
历史会考2班,历史,会考,2,
历史会考3班,历史,会考,2,
生物高考1班,生物,高考,3,
生物高考2班,生物,高考,3,
生物高考3班,生物,高考,3,
生物高考4班,生物,高考,3,
生物高考5班,生物,高考,3,
生物会考1班,生物,会考,2,
物理高考1班,物理,高考,4,
物理高考2班,物理,高考,4,
物理高考3班,物理,高考,4,
物理会考1班,物理,会考,2,
物理会考2班,物理,会考,2,
政治高考1班,政治,高考,3,
政治会考1班,政治,会考,2,
政治会考2班,政治,会考,2,
政治会考3班,政治,会考,2,
政治会考4班,政治,会考,2,
行政1班,数学,必修,6,
行政1班,语文,必修,5,
行政1班,美术,必修,1,
行政1班,英语,必修,5,
行政1班,通用,必修,1,
行政1班,体育,必修,2,
行政2班,数学,必修,6,
行政2班,语文,必修,5,
行政2班,美术,必修,1,
行政2班,英语,必修,5,
行政2班,通用,必修,1,
行政2班,体育,必修,2,
行政3班,数学,必修,6,
行政3班,语文,必修,5,
行政3班,美术,必修,1,
行政3班,英语,必修,5,
行政3班,通用,必修,1,
行政3班,体育,必修,2,
行政4班,数学,必修,6,
行政4班,语文,必修,5,
行政4班,美术,必修,1,
行政4班,英语,必修,5,
行政4班,通用,必修,1,
行政4班,体育,必修,2,
行政5班,数学,必修,6,
行政5班,语文,必修,5,
行政5班,美术,必修,1,
行政5班,英语,必修,5,
行政5班,通用,必修,1,
行政5班,体育,必修,2,
